1.455705259108458280e-17,1.455705259108458280e-17,1.455705259108458280e-17,1.455705259108458280e-17,1.455705259108458280e-17,1.455705259108458280e-17,1.455705259108458280e-17,1.455705259108458280e-17,1.455705259108458280e-17,1.455705259108458280e-17
6.014446707988297947e-01,6.014446707988297947e-01,6.014446707988297947e-01,6.014446707988297947e-01,6.014446707988297947e-01,6.014446707988297947e-01,6.014446707988297947e-01,6.014446707988297947e-01,6.014446707988297947e-01,6.014446707988297947e-01
2.439024563005025847e-01,2.439024563005025847e-01,2.439024563005025847e-01,2.439024563005025847e-01,2.439024563005025847e-01,2.439024563005025847e-01,2.439024563005025847e-01,2.439024563005025847e-01,2.439024563005025847e-01,2.439024563005025847e-01
2.306704905261844352e-01,2.306704905261844352e-01,2.306704905261844352e-01,2.306704905261844352e-01,2.306704905261844352e-01,2.306704905261844352e-01,2.306704905261844352e-01,2.306704905261844352e-01,2.306704905261844352e-01,2.306704905261844352e-01
1.499743540483117677e-11,1.499743540483117677e-11,1.499743540483117677e-11,1.499743540483117677e-11,1.499743540483117677e-11,1.499743540483117677e-11,1.499743540483117677e-11,1.499743540483117677e-11,1.499743540483117677e-11,1.499743540483117677e-11
4.255492188796857755e-01,4.255492188796857755e-01,4.255492188796857755e-01,4.255492188796857755e-01,4.255492188796857755e-01,4.255492188796857755e-01,4.255492188796857755e-01,4.255492188796857755e-01,4.255492188796857755e-01,4.255492188796857755e-01
4.637091619471739833e-03,4.637091619471739833e-03,4.637091619471739833e-03,4.637091619471739833e-03,4.637091619471739833e-03,4.637091619471739833e-03,4.637091619471739833e-03,4.637091619471739833e-03,4.637091619471739833e-03,4.637091619471739833e-03
7.652516358839063226e-01,7.652516358839063226e-01,7.652516358839063226e-01,7.652516358839063226e-01,7.652516358839063226e-01,7.652516358839063226e-01,7.652516358839063226e-01,7.652516358839063226e-01,7.652516358839063226e-01,7.652516358839063226e-01
1.436482404010475389e-01,1.436482404010475389e-01,1.436482404010475389e-01,1.436482404010475389e-01,1.436482404010475389e-01,1.436482404010475389e-01,1.436482404010475389e-01,1.436482404010475389e-01,1.436482404010475389e-01,1.436482404010475389e-01
2.635018098257296271e-01,2.635018098257296271e-01,2.635018098257296271e-01,2.635018098257296271e-01,2.635018098257296271e-01,2.635018098257296271e-01,2.635018098257296271e-01,2.635018098257296271e-01,2.635018098257296271e-01,2.635018098257296271e-01
